Year,Table,County,Method of Delivery,Count,Percent
2009,14,Rockland,Total Births,4560,
2009,14,Rockland,Vaginal Deliveries,3170,
2009,14,St Lawrence,Total Births,1191,
2009,14,St Lawrence,Vaginal Deliveries,653,
2009,14,St Lawrence,Not Stated,44,
2009,14,Saratoga,Total Births,2222,
2009,14,Saratoga,Vaginal Deliveries,1426,
2009,14,Saratoga,Not Stated,0,
2009,14,Schenectady,Total Births,1799,
2009,14,Schenectady,Vaginal Deliveries,1248,
2009,14,Schenectady,Not Stated,1,
2009,14,Schoharie,Vaginal Deliveries,197,
2009,14,Schoharie,Not Stated,0,
2009,14,Schoharie,Total Births,279,
2009,14,Schuyler,Vaginal Deliveries,92,
2009,14,Schuyler,Total Births,158,
2009,14,Schuyler,Not Stated,0,
2009,14,Seneca,Vaginal Deliveries,268,
2009,14,Seneca,Total Births,370,
2009,14,Seneca,Not Stated,1,
2009,14,Steuben,Total Births,1118,
2009,14,Steuben,Not Stated,59,
2009,14,Steuben,Vaginal Deliveries,692,
2009,14,Suffolk,Vaginal Deliveries,9491,
2009,14,Suffolk,Total Births,17183,
2009,14,Suffolk,Not Stated,2,
2009,14,Sullivan,Vaginal Deliveries,579,
2009,14,Sullivan,Not Stated,1,
2009,14,Sullivan,Total Births,861,
2009,14,Tioga,Total Births,429,
2009,14,Tioga,Not Stated,1,
2009,14,Tioga,Vaginal Deliveries,293,
2009,14,Tompkins,Not Stated,3,
2009,14,Tompkins,Total Births,918,
2009,14,Tompkins,Vaginal Deliveries,619,
2009,14,Ulster,Vaginal Deliveries,1106,
2009,14,Ulster,Total Births,1706,
2009,14,Ulster,Not Stated,3,
2009,14,Warren,Vaginal Deliveries,392,
2009,14,Warren,Not Stated,2,
2009,14,Warren,Total Births,640,
2009,14,Washington,Vaginal Deliveries,423,
2009,14,Washington,Total Births,625,
2009,14,Washington,Not Stated,3,
2009,14,Wayne,Total Births,1065,
2009,14,Wayne,Not Stated,1,
2009,14,Wayne,Vaginal Deliveries,703,
2009,14,Westchester,Vaginal Deliveries,6579,
2009,14,Westchester,Total Births,11143,
2009,14,Westchester,Not Stated,13,
2009,14,Wyoming,Vaginal Deliveries,300,
2009,14,Wyoming,Total Births,418,
2009,14,Wyoming,Not Stated,3,
2009,14,Yates,Vaginal Deliveries,281,
2009,14,Yates,Total Births,355,
2009,14,Yates,Not Stated,0,
2009,14,New York State,Cesarean Deliveries,85559,34.85
2009,14,New York City,Cesarean Deliveries,40208,33.13
2009,14,Bronx,Cesarean Deliveries,7537,32.95
2009,14,Kings,Cesarean Deliveries,12560,29.92
2009,14,New York,Cesarean Deliveries,6811,33.90
2009,14,Queens,Cesarean Deliveries,11071,36.06
2009,14,Richmond,Cesarean Deliveries,2229,38.94
2009,14,Rest of State,Cesarean Deliveries,45351,36.54
2009,14,Albany,Cesarean Deliveries,1090,34.32
2009,14,Allegany,Cesarean Deliveries,164,31.84
2009,14,Broome,Cesarean Deliveries,738,35.83
2009,14,Cattaraugus,Cesarean Deliveries,293,33.37
2009,14,Cayuga,Cesarean Deliveries,211,26.02
2009,14,Chautauqua,Cesarean Deliveries,513,36.28
2009,14,Chemung,Cesarean Deliveries,302,30.88
2009,14,Chenango,Cesarean Deliveries,159,30.40
2009,14,Clinton,Cesarean Deliveries,264,33.59
2009,14,Columbia,Cesarean Deliveries,168,29.89
2009,14,Cortland,Cesarean Deliveries,186,33.45
2009,14,Delaware,Cesarean Deliveries,140,30.57
2009,14,Dutchess,Cesarean Deliveries,1092,37.50
2009,14,Erie,Cesarean Deliveries,3483,35.58
2009,14,Essex,Cesarean Deliveries,120,34.19
2009,14,Franklin,Cesarean Deliveries,197,38.55
2009,14,Fulton,Cesarean Deliveries,234,42.31
2009,14,Genesee,Cesarean Deliveries,210,31.96
2009,14,Greene,Cesarean Deliveries,163,36.96
2009,14,Hamilton,Cesarean Deliveries,12,30.00
2009,14,Herkimer,Cesarean Deliveries,240,36.14
2009,14,Jefferson,Cesarean Deliveries,510,25.67
2009,14,Lewis,Cesarean Deliveries,112,33.14
2009,14,Livingston,Cesarean Deliveries,186,32.46
2009,14,Madison,Cesarean Deliveries,213,31.51
2009,14,Monroe,Cesarean Deliveries,2710,31.60
2009,14,Montgomery,Cesarean Deliveries,200,35.40
2009,14,Nassau,Cesarean Deliveries,6040,41.16
2009,14,Niagara,Cesarean Deliveries,1012,43.94
2009,14,Oneida,Cesarean Deliveries,925,35.14
2009,14,Onondaga,Cesarean Deliveries,1750,31.95
2009,14,Ontario,Cesarean Deliveries,279,26.55
2009,14,Orange,Cesarean Deliveries,1629,32.70
2009,14,Orleans,Cesarean Deliveries,143,32.87
2009,14,Oswego,Cesarean Deliveries,445,31.72
2009,14,Otsego,Cesarean Deliveries,150,30.99
2009,14,Putnam,Cesarean Deliveries,339,37.92
2009,14,Rensselaer,Cesarean Deliveries,598,33.82
2009,14,Rockland,Cesarean Deliveries,1130,26.28
2009,14,St Lawrence,Cesarean Deliveries,494,43.07
2009,14,Saratoga,Cesarean Deliveries,796,35.82
2009,14,Schenectady,Cesarean Deliveries,550,30.59
2009,14,Schoharie,Cesarean Deliveries,82,29.39
2009,14,Schuyler,Cesarean Deliveries,66,41.77
2009,14,Seneca,Cesarean Deliveries,101,27.37
2009,14,Steuben,Cesarean Deliveries,367,34.66
2009,14,Suffolk,Cesarean Deliveries,7690,44.76
2009,14,Sullivan,Cesarean Deliveries,281,32.67
2009,14,Tioga,Cesarean Deliveries,135,31.54
2009,14,Tompkins,Cesarean Deliveries,296,32.35
2009,14,Ulster,Cesarean Deliveries,597,35.06
2009,14,Warren,Cesarean Deliveries,246,38.56
2009,14,Washington,Cesarean Deliveries,199,31.99
2009,14,Wayne,Cesarean Deliveries,361,33.93
2009,14,Westchester,Cesarean Deliveries,4551,40.89
2009,14,Wyoming,Cesarean Deliveries,115,27.71
2009,14,Yates,Cesarean Deliveries,74,20.85
2009,14,New York State,Primary C-Sections,52910,21.55
2009,14,New York City,Primary C-Sections,26175,21.57
2009,14,Bronx,Primary C-Sections,4845,21.18
2009,14,Kings,Primary C-Sections,8134,19.37
2009,14,New York,Primary C-Sections,4978,24.78
2009,14,Queens,Primary C-Sections,7005,22.82
2009,14,Richmond,Primary C-Sections,1213,21.19
2009,14,Rest of State,Primary C-Sections,26735,21.54
2009,14,Albany,Primary C-Sections,678,21.35
2009,14,Allegany,Primary C-Sections,84,16.31
2009,14,Broome,Primary C-Sections,417,20.24
2009,14,Cattaraugus,Primary C-Sections,139,15.83
2009,14,Cayuga,Primary C-Sections,113,13.93
2009,14,Chautauqua,Primary C-Sections,298,21.07
2009,14,Chemung,Primary C-Sections,168,17.18
2009,14,Chenango,Primary C-Sections,81,15.49
2009,14,Clinton,Primary C-Sections,184,23.41
2009,14,Columbia,Primary C-Sections,109,19.40
2009,14,Cortland,Primary C-Sections,101,18.17
2009,14,Delaware,Primary C-Sections,91,19.87
2009,14,Dutchess,Primary C-Sections,619,21.26
2009,14,Erie,Primary C-Sections,2049,20.93
2009,14,Essex,Primary C-Sections,77,21.94
2009,14,Franklin,Primary C-Sections,125,24.46
2009,14,Fulton,Primary C-Sections,129,23.33
2009,14,Genesee,Primary C-Sections,117,17.81
2009,14,Greene,Primary C-Sections,104,23.58
2009,14,Hamilton,Primary C-Sections,10,25.00
2009,14,Herkimer,Primary C-Sections,119,17.92
2009,14,Jefferson,Primary C-Sections,313,15.75
2009,14,Lewis,Primary C-Sections,63,18.64
2009,14,Livingston,Primary C-Sections,123,21.47
2009,14,Madison,Primary C-Sections,117,17.31
2009,14,Monroe,Primary C-Sections,1643,19.16
2009,14,Montgomery,Primary C-Sections,121,21.42
2009,14,Nassau,Primary C-Sections,3600,24.53
2009,14,Niagara,Primary C-Sections,600,26.05
2009,14,Oneida,Primary C-Sections,516,19.60
2009,14,Onondaga,Primary C-Sections,1025,18.71
2009,14,Ontario,Primary C-Sections,169,16.08
2009,14,Orange,Primary C-Sections,959,19.25
2009,14,Orleans,Primary C-Sections,77,17.70
2009,14,Oswego,Primary C-Sections,233,16.61
2009,14,Otsego,Primary C-Sections,87,17.98
2009,14,Putnam,Primary C-Sections,199,22.26
2009,14,Rensselaer,Primary C-Sections,364,20.59
2009,14,Rockland,Primary C-Sections,687,15.98
2009,14,St Lawrence,Primary C-Sections,280,24.41
2009,14,Saratoga,Primary C-Sections,473,21.29
2009,14,Schenectady,Primary C-Sections,317,17.63
2009,14,Schoharie,Primary C-Sections,53,19.00
2009,14,Schuyler,Primary C-Sections,38,24.05
2009,14,Seneca,Primary C-Sections,56,15.18
2009,14,Steuben,Primary C-Sections,220,20.77
2009,14,Suffolk,Primary C-Sections,4368,25.42
2014,14,New York City,Total Births,117099,
2009,14,Sullivan,Primary C-Sections,154,17.91
2009,14,Tioga,Primary C-Sections,82,19.16
2009,14,Tompkins,Primary C-Sections,167,18.25
2009,14,Ulster,Primary C-Sections,356,20.90
2009,14,Warren,Primary C-Sections,155,24.29
2009,14,Washington,Primary C-Sections,137,22.03
2009,14,Wayne,Primary C-Sections,221,20.77
2009,14,Westchester,Primary C-Sections,2842,25.53
2009,14,Wyoming,Primary C-Sections,66,15.90
2009,14,Yates,Primary C-Sections,42,11.83
2009,14,New York State,Repeat C-Sections,32649,13.30
2009,14,New York City,Repeat C-Sections,14033,11.56
2009,14,Bronx,Repeat C-Sections,2692,11.77
2009,14,Kings,Repeat C-Sections,4426,10.54
2009,14,New York,Repeat C-Sections,1833,9.12
2009,14,Queens,Repeat C-Sections,4066,13.24
2009,14,Richmond,Repeat C-Sections,1016,17.75
2009,14,Rest of State,Repeat C-Sections,18616,15.00
2009,14,Albany,Repeat C-Sections,412,12.97
2009,14,Allegany,Repeat C-Sections,80,15.53
2009,14,Broome,Repeat C-Sections,321,15.58
2009,14,Cattaraugus,Repeat C-Sections,154,17.54
2009,14,Cayuga,Repeat C-Sections,98,12.08
2009,14,Chautauqua,Repeat C-Sections,215,15.21
2009,14,Chemung,Repeat C-Sections,134,13.70
2009,14,Chenango,Repeat C-Sections,78,14.91
2009,14,Clinton,Repeat C-Sections,80,10.18
2009,14,Columbia,Repeat C-Sections,59,10.50
2009,14,Cortland,Repeat C-Sections,85,15.29
2009,14,Delaware,Repeat C-Sections,49,10.70
2009,14,Dutchess,Repeat C-Sections,473,16.24
2009,14,Erie,Repeat C-Sections,1434,14.65
2009,14,Essex,Repeat C-Sections,43,12.25
2009,14,Franklin,Repeat C-Sections,72,14.09
2009,14,Fulton,Repeat C-Sections,105,18.99
2009,14,Genesee,Repeat C-Sections,93,14.16
2009,14,Greene,Repeat C-Sections,59,13.38
2009,14,Hamilton,Repeat C-Sections,2,5.00
2009,14,Herkimer,Repeat C-Sections,121,18.22
2009,14,Jefferson,Repeat C-Sections,197,9.91
2009,14,Lewis,Repeat C-Sections,49,14.50
2009,14,Livingston,Repeat C-Sections,63,10.99
2009,14,Madison,Repeat C-Sections,96,14.20
2009,14,Monroe,Repeat C-Sections,1067,12.44
2009,14,Montgomery,Repeat C-Sections,79,13.98
2009,14,Nassau,Repeat C-Sections,2440,16.63
2009,14,Niagara,Repeat C-Sections,412,17.89
2009,14,Oneida,Repeat C-Sections,409,15.54
2009,14,Onondaga,Repeat C-Sections,725,13.24
2009,14,Ontario,Repeat C-Sections,110,10.47
2009,14,Orange,Repeat C-Sections,670,13.45
2009,14,Orleans,Repeat C-Sections,66,15.17
2009,14,Oswego,Repeat C-Sections,212,15.11
2009,14,Otsego,Repeat C-Sections,63,13.02
2009,14,Putnam,Repeat C-Sections,140,15.66
2009,14,Rensselaer,Repeat C-Sections,234,13.24
2009,14,Rockland,Repeat C-Sections,443,10.30
2009,14,St Lawrence,Repeat C-Sections,214,18.66
2009,14,Saratoga,Repeat C-Sections,323,14.54
2009,14,Schenectady,Repeat C-Sections,233,12.96
2009,14,Schoharie,Repeat C-Sections,29,10.39
2009,14,Schuyler,Repeat C-Sections,28,17.72
2009,14,Seneca,Repeat C-Sections,45,12.20
2009,14,Steuben,Repeat C-Sections,147,13.88
2009,14,Suffolk,Repeat C-Sections,3322,19.34
2009,14,Sullivan,Repeat C-Sections,127,14.77
2009,14,Tioga,Repeat C-Sections,53,12.38
2009,14,Tompkins,Repeat C-Sections,129,14.10
2009,14,Ulster,Repeat C-Sections,241,14.15
2009,14,Warren,Repeat C-Sections,91,14.26
2009,14,Washington,Repeat C-Sections,62,9.97
2009,14,Wayne,Repeat C-Sections,140,13.16
2009,14,Westchester,Repeat C-Sections,1709,15.35
2009,14,Wyoming,Repeat C-Sections,49,11.81
2009,14,Yates,Repeat C-Sections,32,9.01
2009,14,New York State,Vaginal After C-Section,3153,8.81
2009,14,New York City,Vaginal After C-Section,1678,10.68
2009,14,Bronx,Vaginal After C-Section,346,11.39
2009,14,Kings,Vaginal After C-Section,640,12.63
2009,14,New York,Vaginal After C-Section,210,10.28
2009,14,Queens,Vaginal After C-Section,398,8.92
2009,14,Richmond,Vaginal After C-Section,84,7.64
2009,14,Rest of State,Vaginal After C-Section,1475,7.34
2009,14,Albany,Vaginal After C-Section,61,12.90
2009,14,Allegany,Vaginal After C-Section,2,2.44
2009,14,Broome,Vaginal After C-Section,13,3.89
2009,14,Cattaraugus,Vaginal After C-Section,5,3.14
2009,14,Cayuga,Vaginal After C-Section,3,2.97
2009,14,Chautauqua,Vaginal After C-Section,6,2.71
2009,14,Chemung,Vaginal After C-Section,20,12.99
2009,14,Chenango,Vaginal After C-Section,2,2.50
2009,14,Clinton,Vaginal After C-Section,7,8.05
2009,14,Columbia,Vaginal After C-Section,9,13.24
2009,14,Cortland,Vaginal After C-Section,4,4.49
2009,14,Delaware,Vaginal After C-Section,3,5.77
2009,14,Dutchess,Vaginal After C-Section,57,10.75
2009,14,Erie,Vaginal After C-Section,122,7.84
2009,14,Essex,Vaginal After C-Section,4,8.51
2009,14,Franklin,Vaginal After C-Section,3,4.00
2009,14,Fulton,Vaginal After C-Section,3,2.78
2009,14,Genesee,Vaginal After C-Section,10,9.71
2009,14,Greene,Vaginal After C-Section,8,11.94
2009,14,Hamilton,Vaginal After C-Section,0,0.00
2009,14,Herkimer,Vaginal After C-Section,6,4.72
2009,14,Jefferson,Vaginal After C-Section,33,14.35
2009,14,Lewis,Vaginal After C-Section,5,9.26
2009,14,Livingston,Vaginal After C-Section,5,7.35
2009,14,Madison,Vaginal After C-Section,8,7.69
2009,14,Monroe,Vaginal After C-Section,152,12.47
2009,14,Montgomery,Vaginal After C-Section,3,3.66
2009,14,Nassau,Vaginal After C-Section,94,3.71
2009,14,Niagara,Vaginal After C-Section,27,6.15
2009,14,Oneida,Vaginal After C-Section,21,4.88
2009,14,Onondaga,Vaginal After C-Section,92,11.26
2009,14,Ontario,Vaginal After C-Section,28,20.29
2009,14,Orange,Vaginal After C-Section,91,11.96
2009,14,Orleans,Vaginal After C-Section,4,5.71
2009,14,Oswego,Vaginal After C-Section,15,6.61
2009,14,Otsego,Vaginal After C-Section,9,12.50
2009,14,Putnam,Vaginal After C-Section,14,9.09
2009,14,Rensselaer,Vaginal After C-Section,30,11.36
2009,14,Rockland,Vaginal After C-Section,116,20.75
2009,14,St Lawrence,Vaginal After C-Section,9,4.04
2009,14,Saratoga,Vaginal After C-Section,24,6.92
2009,14,Schenectady,Vaginal After C-Section,24,9.34
2010,14,Allegany,Not Stated,24,
2009,14,Schoharie,Vaginal After C-Section,6,17.14
2009,14,Schuyler,Vaginal After C-Section,4,12.50
2009,14,Seneca,Vaginal After C-Section,4,8.16
2009,14,Steuben,Vaginal After C-Section,12,7.55
2009,14,Suffolk,Vaginal After C-Section,108,3.15
2009,14,Sullivan,Vaginal After C-Section,9,6.62
2009,14,Tioga,Vaginal After C-Section,9,14.52
2009,14,Tompkins,Vaginal After C-Section,15,10.42
2009,14,Ulster,Vaginal After C-Section,28,10.41
2009,14,Warren,Vaginal After C-Section,1,1.09
2009,14,Washington,Vaginal After C-Section,4,6.06
2009,14,Wayne,Vaginal After C-Section,8,5.41
2009,14,Westchester,Vaginal After C-Section,104,5.74
2009,14,Wyoming,Vaginal After C-Section,4,7.55
2009,14,Yates,Vaginal After C-Section,7,17.95
2010,14,New York State,Not Stated,1097,
2010,14,New York State,Total Births,242914,
2010,14,New York State,Vaginal Deliveries,157999,
2010,14,New York City,Not Stated,375,
2010,14,New York City,Total Births,120003,
2010,14,New York City,Vaginal Deliveries,80106,
2010,14,Bronx,Not Stated,126,
2010,14,Bronx,Vaginal Deliveries,14859,
2010,14,Bronx,Total Births,22386,
2010,14,Kings,Total Births,41798,
2010,14,Kings,Vaginal Deliveries,28948,
2010,14,Kings,Not Stated,116,
2010,14,New York,Vaginal Deliveries,13052,
2010,14,New York,Total Births,19731,
2010,14,New York,Not Stated,80,
2010,14,Queens,Total Births,30484,
2010,14,Queens,Not Stated,46,
2010,14,Queens,Vaginal Deliveries,19705,
2010,14,Richmond,Total Births,5604,
2010,14,Richmond,Not Stated,7,
2010,14,Richmond,Vaginal Deliveries,3542,
2010,14,Rest of State,Not Stated,722,
2010,14,Rest of State,Vaginal Deliveries,77893,
2010,14,Rest of State,Total Births,122911,
2010,14,Albany,Vaginal Deliveries,2071,
2010,14,Albany,Not Stated,1,
2010,14,Albany,Total Births,3074,
2010,14,Allegany,Vaginal Deliveries,300,
2010,14,Allegany,Total Births,494,
2010,14,Broome,Not Stated,1,
2010,14,Broome,Vaginal Deliveries,1283,
2010,14,Broome,Total Births,2048,
2010,14,Cattaraugus,Total Births,983,
2010,14,Cattaraugus,Vaginal Deliveries,588,
2010,14,Cattaraugus,Not Stated,101,
2010,14,Cayuga,Total Births,820,
2010,14,Cayuga,Not Stated,0,
2010,14,Cayuga,Vaginal Deliveries,594,
2010,14,Chautauqua,Vaginal Deliveries,876,
2010,14,Chautauqua,Not Stated,27,
2010,14,Chautauqua,Total Births,1372,
2010,14,Chemung,Not Stated,0,
2010,14,Chemung,Total Births,1001,
2010,14,Chemung,Vaginal Deliveries,713,
2010,14,Chenango,Vaginal Deliveries,322,
2010,14,Chenango,Not Stated,1,
2010,14,Chenango,Total Births,468,
2010,14,Clinton,Vaginal Deliveries,553,
2010,14,Clinton,Not Stated,1,
2010,14,Clinton,Total Births,839,
2010,14,Columbia,Vaginal Deliveries,383,
2010,14,Columbia,Total Births,595,
2010,14,Columbia,Not Stated,6,
2010,14,Cortland,Vaginal Deliveries,310,
2010,14,Cortland,Not Stated,1,
2010,14,Cortland,Total Births,455,
2010,14,Delaware,Total Births,459,
2010,14,Delaware,Vaginal Deliveries,332,
2010,14,Delaware,Not Stated,0,
2010,14,Dutchess,Vaginal Deliveries,1773,
2010,14,Dutchess,Not Stated,2,
2010,14,Dutchess,Total Births,2867,
2010,14,Erie,Total Births,9757,
2010,14,Erie,Vaginal Deliveries,6277,
2010,14,Erie,Not Stated,17,
2010,14,Essex,Not Stated,0,
2010,14,Essex,Total Births,337,
2010,14,Essex,Vaginal Deliveries,239,
2010,14,Franklin,Vaginal Deliveries,285,
2010,14,Franklin,Not Stated,5,
2010,14,Franklin,Total Births,485,
2010,14,Fulton,Not Stated,3,
2010,14,Fulton,Total Births,555,
2010,14,Fulton,Vaginal Deliveries,342,
2010,14,Genesee,Total Births,649,
2010,14,Genesee,Vaginal Deliveries,427,
2010,14,Genesee,Not Stated,0,
2010,14,Greene,Vaginal Deliveries,298,
2010,14,Greene,Total Births,461,
2010,14,Greene,Not Stated,1,
2010,14,Hamilton,Vaginal Deliveries,25,
2010,14,Hamilton,Total Births,34,
2010,14,Hamilton,Not Stated,0,
2010,14,Herkimer,Total Births,635,
2010,14,Herkimer,Vaginal Deliveries,418,
2010,14,Herkimer,Not Stated,7,
2010,14,Jefferson,Vaginal Deliveries,1509,
2010,14,Jefferson,Total Births,2071,
2010,14,Jefferson,Not Stated,12,
2010,14,Lewis,Vaginal Deliveries,204,
2010,14,Lewis,Not Stated,7,
2010,14,Lewis,Total Births,311,
2010,14,Livingston,Vaginal Deliveries,373,
2010,14,Livingston,Total Births,570,
2010,14,Livingston,Not Stated,0,
2010,14,Madison,Total Births,642,
2010,14,Madison,Not Stated,4,
2010,14,Madison,Vaginal Deliveries,452,
2010,14,Monroe,Not Stated,3,
2010,14,Monroe,Vaginal Deliveries,5877,
2010,14,Monroe,Total Births,8526,
2010,14,Montgomery,Total Births,587,
2010,14,Montgomery,Vaginal Deliveries,363,
2010,14,Montgomery,Not Stated,47,
2010,14,Nassau,Not Stated,4,
2010,14,Nassau,Vaginal Deliveries,8426,
2010,14,Nassau,Total Births,14200,
2010,14,Niagara,Vaginal Deliveries,1249,
2010,14,Niagara,Total Births,2214,
2010,14,Niagara,Not Stated,0,
2010,14,Oneida,Vaginal Deliveries,1698,
2010,14,Oneida,Not Stated,3,
2010,14,Oneida,Total Births,2633,
2010,14,Onondaga,Vaginal Deliveries,3639,
2010,14,Onondaga,Total Births,5348,
2010,14,Onondaga,Not Stated,1,
2010,14,Ontario,Vaginal Deliveries,743,
2010,14,Ontario,Not Stated,0,
2010,14,Ontario,Total Births,1036,
2010,14,Orange,Not Stated,79,
2010,14,Orange,Vaginal Deliveries,3307,
2010,14,Orange,Total Births,4999,
2010,14,Orleans,Vaginal Deliveries,279,
2010,14,Orleans,Not Stated,0,
2010,14,Orleans,Total Births,433,
2010,14,Oswego,Not Stated,8,
2010,14,Oswego,Vaginal Deliveries,877,
2010,14,Oswego,Total Births,1325,
2010,14,Otsego,Vaginal Deliveries,370,
2010,14,Otsego,Total Births,516,
2010,14,Otsego,Not Stated,2,
2010,14,Putnam,Total Births,931,
2010,14,Putnam,Not Stated,1,
2010,14,Putnam,Vaginal Deliveries,560,
2010,14,Rensselaer,Vaginal Deliveries,1122,
2010,14,Rensselaer,Not Stated,2,
2010,14,Rensselaer,Total Births,1677,
2010,14,Rockland,Total Births,4525,
2010,14,Rockland,Not Stated,208,
2010,14,Rockland,Vaginal Deliveries,3161,
2010,14,St Lawrence,Not Stated,64,
2010,14,St Lawrence,Total Births,1222,
2010,14,St Lawrence,Vaginal Deliveries,694,
2010,14,Saratoga,Total Births,2304,
2010,14,Saratoga,Not Stated,2,
2010,14,Saratoga,Vaginal Deliveries,1476,
2010,14,Schenectady,Total Births,1837,
2010,14,Schenectady,Not Stated,0,
2010,14,Schenectady,Vaginal Deliveries,1261,
2010,14,Schoharie,Not Stated,0,
2010,14,Schoharie,Vaginal Deliveries,214,
2010,14,Schoharie,Total Births,286,
2010,14,Schuyler,Not Stated,0,
2010,14,Schuyler,Vaginal Deliveries,93,
2010,14,Schuyler,Total Births,168,
2010,14,Seneca,Vaginal Deliveries,282,
2010,14,Seneca,Total Births,396,
2010,14,Seneca,Not Stated,3,
2010,14,Steuben,Vaginal Deliveries,724,
2010,14,Steuben,Not Stated,46,
2010,14,Steuben,Total Births,1173,
2010,14,Suffolk,Vaginal Deliveries,9478,
2010,14,Suffolk,Not Stated,7,
2010,14,Suffolk,Total Births,16805,
2010,14,Sullivan,Vaginal Deliveries,546,
2010,14,Sullivan,Total Births,831,
2010,14,Sullivan,Not Stated,5,
2010,14,Tioga,Vaginal Deliveries,308,
2010,14,Tioga,Total Births,440,
2010,14,Tioga,Not Stated,0,
2010,14,Tompkins,Not Stated,4,
2010,14,Tompkins,Vaginal Deliveries,553,
2010,14,Tompkins,Total Births,831,
2010,14,Ulster,Vaginal Deliveries,1117,
2010,14,Ulster,Not Stated,1,
2010,14,Ulster,Total Births,1693,
2010,14,Warren,Vaginal Deliveries,397,
2010,14,Warren,Not Stated,0,
2010,14,Warren,Total Births,611,
2010,14,Washington,Vaginal Deliveries,397,
2010,14,Washington,Total Births,604,
2010,14,Washington,Not Stated,1,
2010,14,Wayne,Vaginal Deliveries,654,
2010,14,Wayne,Not Stated,1,
2010,14,Wayne,Total Births,968,
2010,14,Westchester,Not Stated,4,
2010,14,Westchester,Vaginal Deliveries,6561,
2010,14,Westchester,Total Births,11104,
2010,14,Wyoming,Not Stated,2,
2010,14,Wyoming,Vaginal Deliveries,265,
2010,14,Wyoming,Total Births,394,
2010,14,Yates,Vaginal Deliveries,255,
2010,14,Yates,Total Births,312,
2010,14,Yates,Not Stated,3,
2010,14,New York State,Cesarean Deliveries,83818,34.66
2010,14,New York City,Cesarean Deliveries,39522,33.04
2010,14,Bronx,Cesarean Deliveries,7401,33.25
2010,14,Kings,Cesarean Deliveries,12734,30.55
2010,14,New York,Cesarean Deliveries,6599,33.58
2010,14,Queens,Cesarean Deliveries,10733,35.26
2010,14,Richmond,Cesarean Deliveries,2055,36.72
2010,14,Rest of State,Cesarean Deliveries,44296,36.25
2010,14,Albany,Cesarean Deliveries,1002,32.61
2010,14,Allegany,Cesarean Deliveries,170,36.17
2010,14,Broome,Cesarean Deliveries,764,37.32
2010,14,Cattaraugus,Cesarean Deliveries,294,33.33
2010,14,Cayuga,Cesarean Deliveries,226,27.56
2010,14,Chautauqua,Cesarean Deliveries,469,34.87
2010,14,Chemung,Cesarean Deliveries,288,28.77
2010,14,Chenango,Cesarean Deliveries,145,31.05
2010,14,Clinton,Cesarean Deliveries,285,34.01
2010,14,Columbia,Cesarean Deliveries,206,34.97
2010,14,Cortland,Cesarean Deliveries,144,31.72
2010,14,Delaware,Cesarean Deliveries,127,27.67
2010,14,Dutchess,Cesarean Deliveries,1092,38.12
2010,14,Erie,Cesarean Deliveries,3463,35.55
2010,14,Essex,Cesarean Deliveries,98,29.08
2010,14,Franklin,Cesarean Deliveries,195,40.62
2010,14,Fulton,Cesarean Deliveries,210,38.04
2010,14,Genesee,Cesarean Deliveries,222,34.21
2010,14,Greene,Cesarean Deliveries,162,35.22
2010,14,Hamilton,Cesarean Deliveries,9,26.47
2010,14,Herkimer,Cesarean Deliveries,210,33.44
2010,14,Jefferson,Cesarean Deliveries,550,26.71
2010,14,Lewis,Cesarean Deliveries,100,32.89
2010,14,Livingston,Cesarean Deliveries,197,34.56
2010,14,Madison,Cesarean Deliveries,186,29.15
2010,14,Monroe,Cesarean Deliveries,2646,31.05
2010,14,Montgomery,Cesarean Deliveries,177,32.78
2010,14,Nassau,Cesarean Deliveries,5770,40.65
2010,14,Niagara,Cesarean Deliveries,965,43.59
2010,14,Oneida,Cesarean Deliveries,932,35.44
2010,14,Onondaga,Cesarean Deliveries,1708,31.94
2010,14,Ontario,Cesarean Deliveries,293,28.28
2010,14,Orange,Cesarean Deliveries,1613,32.78
2010,14,Orleans,Cesarean Deliveries,154,35.57
2010,14,Oswego,Cesarean Deliveries,440,33.41
2010,14,Otsego,Cesarean Deliveries,144,28.02
2010,14,Putnam,Cesarean Deliveries,370,39.78
2010,14,Rensselaer,Cesarean Deliveries,553,33.01
2010,14,Rockland,Cesarean Deliveries,1156,26.78
2010,14,St Lawrence,Cesarean Deliveries,464,40.07
2010,14,Saratoga,Cesarean Deliveries,826,35.88
2010,14,Schenectady,Cesarean Deliveries,576,31.36
2010,14,Schoharie,Cesarean Deliveries,72,25.17
2010,14,Schuyler,Cesarean Deliveries,75,44.64
2010,14,Seneca,Cesarean Deliveries,111,28.24
2010,14,Steuben,Cesarean Deliveries,403,35.76
2010,14,Suffolk,Cesarean Deliveries,7320,43.58
2010,14,Sullivan,Cesarean Deliveries,280,33.90
2010,14,Tioga,Cesarean Deliveries,132,30.00
2010,14,Tompkins,Cesarean Deliveries,274,33.13
2010,14,Ulster,Cesarean Deliveries,575,33.98
2010,14,Warren,Cesarean Deliveries,214,35.02
2010,14,Washington,Cesarean Deliveries,206,34.16
2010,14,Wayne,Cesarean Deliveries,313,32.37
2010,14,Westchester,Cesarean Deliveries,4539,40.89
2010,14,Wyoming,Cesarean Deliveries,127,32.40
2010,14,Yates,Cesarean Deliveries,54,17.48
2010,14,New York State,Primary C-Sections,50946,21.07
